,reaction_name,reaction_count,reaction_users_count,message,user_id,channel
0,1,1,U03UFV7HFNF,<!channel> please note that our core hours range from 8:00 AM - 2:00 PM UTC. This is a period where you can ask any questions and expect a quick response from the team or colleagues. I would like to encourage everyone to be more active and contributing on slack during these core hours. Thanks and keep enjoying the challenge!!!,U03T89ACUUW,Allchannells
1,white_check_mark,1,U03TEPYRM2P,in other words - don't struggle alone for a long time (You have people)!,U03T89ACUUW,Allchannells
2,raised_hands,1,U03UD68RQH3,"Try it in incognito window, works fine for me in incognito.",U03UUR571A5,Allchannells
3,1,4,"U03UJN29Y4C,U03V785NLSU,U03UG1RTXAP,U03UKGSDGSG",The project structure that is suggested: <https://github.com/10xac/PythonPackageStructure>,U03U1HAG9TR,Allchannells
4,1,3,"U03V8LHPDME,U03UP7V9Q57,U03UYNR4TS4",I had the same issue until I cleared the cache on my browser.,U03V785NLSU,Allchannells
5,white_check_mark,1,U03UJGP0C68,You can try by clearing cache,U03UDBUL7CL,Allchannells
6,white_check_mark,1,U03UVHCV6KB,"You can follow this to solve the problem
<https://10academy.notion.site/Guide-for-removing-cache-and-cookies-04ed51fc65084ca7b0a2a0a7eaf055dd>",U03UYNR4TS4,Allchannells
7,1,1,U03UUMM7Y8H,"for the four bullets, I think we can use
• number of xDR sessions = 'Bearer Id'
• Session duration = 'Dur. (ms)' or 'Dur. (s)'
• the total download (DL) and upload (UL) data = 'Total DL (Bytes)' and 'Total UL (Bytes)'
• the total data volume (in Bytes) during this session for each application = aggregate for all the applications provided 
",U03UVHCV6KB,Allchannells
8,1,2,"U03UFV7TUTV,U03UVHCV6KB",<https://pandas.pydata.org/docs/reference/api/pandas.core.groupby.DataFrameGroupBy.aggregate.html>,U03UKL27B0R,Allchannells
9,1,1,U03UVHCV6KB,"Check this site. It mighy help
<https://www.tutorialspoint.com/python_data_science/python_data_aggregation.htm|https://www.tutorialspoint.com/python_data_science/python_data_aggregation.htm>",U03UKGSDGSG,Allchannells
10,100,3,"U03UFV7TUTV,U03UG32J3PC,U03UFV7HFNF",Important site for working with missing data in pandas. <https://www.geeksforgeeks.org/working-with-missing-data-in-pandas/|https://www.geeksforgeeks.org/working-with-missing-data-in-pandas/>,U03UKGSDGSG,Allchannells
11,1,1,U03UVHCV6KB,Important site for working with missing data in pandas. <https://www.geeksforgeeks.org/working-with-missing-data-in-pandas/|https://www.geeksforgeeks.org/working-with-missing-data-in-pandas/>,U03UKGSDGSG,Allchannells
12,raised_hands,1,U03UVHCV6KB,"For the total data in bytes for each application, do you think that it's good to some the DL and Ul for each application?",U03UH397319,Allchannells
13,1,1,U03V8LHPDME,just to be sure,U03UVHCV6KB,Allchannells
14,raised_hands,1,U03UVHCV6KB,"why replace when u can either normalize it or scale it?

like simple min max scaler or log transformation will do",U03U1GHT39V,Allchannells
15,white_check_mark,1,U03UJGRN5E0,I think scaling and normalization are only applicable to numeric data,U03UH397319,Allchannells
16,1,2,"U03UUMM7Y8H,U03UKL27B0R","In my case, there is a missing value in the &lt;MSISDN&gt; but not in the Bearer ID. I chose not to drop it because I used the MSISDN as a customer_id",U03UJGRN5E0,Allchannells
17,raised_hands,1,U03UG4Q7V42,"`import sys, os`
`sys.path.append(os.path.abspath(os.path.join('../scripts/')))`",U03UUR571A5,Allchannells
18,white_check_mark,1,U03UG4Q7V42,That was only required on older python version before 3.4 or 3.3. If you have newer version that won't be required.,U03UKL27B0R,Allchannells
19,handshake,2,"U03UG4Q7V42,U03UFV7HFNF","It is not necessary if you use `sys.path.append(os.path.abspath(os.path.join('../scripts/')))`.
But if you do have `__init__.py` github actions will complain and throw an error while the tests are running for your scripts especially if you don't use the correct statements
for example the statement `import utils` will be an error in github actions even though it works fine locally,
so you have to use `from . import utils`",U03UUR571A5,Allchannells
20,1,1,U03UG4Q7V42,"Hello guys, I think this link can help us: <https://www.canva.com/>",U03UGB3T3MY,Allchannells
21,1,2,"U03UG4Q7V42,U03UKGSDGSG",<https://machinelearningmastery.com/understand-machine-learning-data-descriptive-statistics-python/>,U03UG32J3PC,Allchannells
22,1,1,U03UJKJGRAQ,You can drop the rows with no bearer ids,U03U1FQKEMV,Allchannells
23,heavy_check_mark,3,"U03V1AM5TFA,U03UUMM7Y8H,U03UG5VFN03","You can also refer on the week 1 schedule to have a clear sense of the submissions deadlines for both technical or non-technical. For technical, we have two submissions (interim submission and Final submission - kindly check the schedule and challenge doc)",U03T89ACUUW,Allchannells
24,1,1,U03UG4Q7V42,you may change the axis to 0 or 'index',U03UUMM7Y8H,Allchannells
25,1,2,"U03UG4Q7V42,U03U1FNPEUX","I have rerun every cell, so it's working again now",U03UJN29Y4C,Allchannells
26,1,1,U03UG1Z21JP,"Thank you so much guys, I'll do the manual installation later. for now I've switched to google colab just to finish up my work",U03UJN29Y4C,Allchannells
27,1,2,"U03U1HAG9TR,U03UVHCV6KB",I use vscode extension for notebook and it works great. Maybe you should try that?,U03UG4Q7V42,Allchannells
28,white_check_mark,1,U03UG32J3PC,you have to fetch and merge first (if you are sure you won't find merge conflict you can use `git pull` command) but if you are unsure please use `git fetch` then `git merge`,U03UJGP0C68,Allchannells
29,1,1,U03UJGP0C68,tnx i fixed it,U03UHB8CXDY,Allchannells
30,white_check_mark,1,U03UVHCV6KB,"we are asked to calculate correlation  for the social media, google, email, youtube, netflix, gaming, and other.
you can calculate corr..
corr = df[&lt;selected column&gt;].corr()",U03UJGRN5E0,Allchannells
31,raised_hands,1,U03UVHCV6KB,"we are asked to calculate correlation  for the social media, google, email, youtube, netflix, gaming, and other.
you can calculate corr..
corr = df[&lt;selected column&gt;].corr()",U03UJGRN5E0,Allchannells
32,1,1,U03UG569P7U,"we are asked to calculate correlation  for the social media, google, email, youtube, netflix, gaming, and other.
you can calculate corr..
corr = df[&lt;selected column&gt;].corr()",U03UJGRN5E0,Allchannells
33,white_check_mark,1,U03UVHCV6KB,"sns.heatmap(corr,
cmap= ‘Blues’,         xticklabels=corr.columns,          yticklabels=corr.columns)",U03UJGRN5E0,Allchannells
34,raised_hands,1,U03UVHCV6KB,"sns.heatmap(corr,
cmap= ‘Blues’,         xticklabels=corr.columns,          yticklabels=corr.columns)",U03UJGRN5E0,Allchannells
35,1,3,"U03UFV7HFNF,U03UVHCV6KB,U03UD5B7C3X","PCA works only for numerical values. So, make sure to select the numeric columns before calculating the PCA
numeric_df = df.select_dtypes(include=‘float64’)",U03UJGRN5E0,Allchannells
36,1,1,U03UFV7TUTV,"<https://machinelearningmastery.com/principal-components-analysis-for-dimensionality-reduction-in-python/#:~:text=for%20Dimensionality%20Reduction-,Dimensionality%20Reduction%20and%20PCA,to%20predict%20the%20target%20variable>.",U03UUR571A5,Allchannells
37,raised_hands,1,U03UUR571A5,<https://dev.to/mage_ai/10-steps-to-build-and-optimize-a-ml-model-4a3h|https://dev.to/mage_ai/10-steps-to-build-and-optimize-a-ml-model-4a3h>,U03UFV7TUTV,Allchannells
38,wave,1,U03UJGRN5E0,Anyone who can help me on dimensionality reduction?,U03UUMM7Y8H,Allchannells
39,1,1,U03UG4Q7V42,<https://towardsdatascience.com/principal-component-analysis-for-dimensionality-reduction-115a3d157bad>,U03UUR571A5,Allchannells
40,1,2,"U03UUR571A5,U03U1HAG9TR",I think it is impossible to have a boxplot for categorical data,U03UJGRN5E0,Allchannells
41,smiling_face_with_tear,1,U03V6HMRPGQ,do I need to normalize and standardize all the columns ??,U03V6HMRPGQ,Allchannells
42,1,1,U03U9DB7REG,Okay thank you <@U03U9DB7REG>,U03U9EJR362,Allchannells
43,raised_hands,1,U03U9EJR362,or you can use the --patch command,U03U9DB7REG,Allchannells
44,1,1,U03UJGP0C68,Thanks it worked,U03U1FNPEUX,Allchannells
45,raised_hands,1,U03V61VGQG0,"I really got burnt out :broken_heart:, I hope that the tutors explain more about which tasks we should do and what not to do, I was working in the normalisation and standardisation for two day and not knowing that it will be explained today, and I wasted a lot of time figuring things that was explained easily today in the tutorial. I could use that time to do better in submitting todays task but unfortunately I didn’t. I hope from the tutors to explain what are our tasks, just for the first two weeks so that we get familiar with the flow and the tasks. 
Thank you again for you wonderful efforts and I hope you take my notes as a honest feedback in order to make it better for all of us :heart:",U03V6HMRPGQ,Allchannells
46,1,1,U03UP7V9Q57,"I really got burnt out :broken_heart:, I hope that the tutors explain more about which tasks we should do and what not to do, I was working in the normalisation and standardisation for two day and not knowing that it will be explained today, and I wasted a lot of time figuring things that was explained easily today in the tutorial. I could use that time to do better in submitting todays task but unfortunately I didn’t. I hope from the tutors to explain what are our tasks, just for the first two weeks so that we get familiar with the flow and the tasks. 
Thank you again for you wonderful efforts and I hope you take my notes as a honest feedback in order to make it better for all of us :heart:",U03V6HMRPGQ,Allchannells
47,heart,1,U03V6HMRPGQ,<@U03T89ACUUW> <@U03UP7V9Q57>,U03U93GNNVB,Allchannells
48,1,1,U03UP7V9Q57,<@U03T89ACUUW> <@U03UP7V9Q57>,U03U93GNNVB,Allchannells
49,white_check_mark,1,U03UG4Q7V42,Mee too.. Alright,U03UH397319,Allchannells
50,1,2,"U03UG1RTXAP,U03UKL27B0R",I like the idea of the contest very much. I hope that will help us for our problem solving skill. Thank you <@U03UKL27B0R> for the presentation.,U03UG32J3PC,Allchannells
51,slightly_smiling_face,3,"U03UJN29Y4C,U03V6HMRPGQ,U03UH397319","Hello everyone and dear team,
We have plenty tasks that are not really easy to do and not small as well. Any advice about how to successfully manage in this kind of situation will be helpful.
Thanks in advance.",U03UH397319,Allchannells
